threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.451,0,0,full,1536,1,1,,,below_threshold
0.451,0,1,full,1536,1,1,,,below_threshold
0.451,0,2,full,1536,1,1,,,below_threshold
0.451,0,3,full,1536,1,1,,,below_threshold
0.451,0,4,full,1536,1,1,,,below_threshold
0.451,0,5,full,1536,1,1,,,below_threshold
0.451,0,6,full,1536,1,1,,,below_threshold
0.451,0,7,full,1536,1,1,,,below_threshold
0.451,1,0,full,1536,1,1,,,below_threshold
0.451,1,1,full,1536,1,1,,,below_threshold
0.451,1,2,full,1536,1,1,,,below_threshold
0.451,1,3,full,1536,1,1,,,below_threshold
0.451,1,4,full,1536,1,1,,,below_threshold
0.451,1,5,full,1536,1,1,,,below_threshold
0.451,1,6,full,1536,1,1,,,below_threshold
0.451,1,7,full,1536,1,1,,,below_threshold
0.451,2,0,full,1536,1,1,,,below_threshold
0.451,2,1,full,1536,1,1,,,below_threshold
0.451,2,2,full,1536,1,1,,,below_threshold
0.451,2,3,full,1536,1,1,,,below_threshold
0.451,2,4,full,1536,1,1,,,below_threshold
0.451,2,5,full,1536,1,1,,,constrained_out
0.451,2,6,full,1536,1,1,,,below_threshold
0.451,2,7,full,1536,1,1,,,drop_l2_h7__l3_h0
0.451,3,0,full,1536,1,1,,,drop_l2_h7__l3_h0
0.451,3,1,full,1536,1,1,,,below_threshold
0.451,3,2,full,1536,1,1,,,below_threshold
0.451,3,3,full,1536,1,1,,,below_threshold
0.451,3,4,full,1536,1,1,,,below_threshold
0.451,3,5,full,1536,1,1,,,below_threshold
0.451,3,6,full,1536,1,1,,,constrained_out
0.451,3,7,full,1536,1,1,,,constrained_out
0.451,4,0,full,1536,1,1,,,below_threshold
0.451,4,1,full,1536,1,1,,,below_threshold
0.451,4,2,full,1536,1,1,,,below_threshold
0.451,4,3,full,1536,1,1,,,below_threshold
0.451,4,4,full,1536,1,1,,,below_threshold
0.451,4,5,full,1536,1,1,,,below_threshold
0.451,4,6,compact,256,0.166667,0.472774,0.333632,0.472774,meets_threshold
0.451,4,7,full,1536,1,1,,,below_threshold
0.451,5,0,full,1536,1,1,,,below_threshold
0.451,5,1,full,1536,1,1,,,below_threshold
0.451,5,2,compact,128,0.0833333,0.478574,-0.0711887,0.478574,meets_threshold
0.451,5,3,full,1536,1,1,,,below_threshold
0.451,5,4,full,1536,1,1,,,below_threshold
0.451,5,5,full,1536,1,1,,,below_threshold
0.451,5,6,full,1536,1,1,,,below_threshold
0.451,5,7,full,1536,1,1,,,below_threshold
0.451,6,0,full,1536,1,1,,,below_threshold
0.451,6,1,full,1536,1,1,,,below_threshold
0.451,6,2,full,1536,1,1,,,below_threshold
0.451,6,3,full,1536,1,1,,,below_threshold
0.451,6,4,full,1536,1,1,,,below_threshold
0.451,6,5,full,1536,1,1,,,below_threshold
0.451,6,6,full,1536,1,1,,,below_threshold
0.451,6,7,compact,64,0.0416667,0.586239,-0.703545,0.586239,meets_threshold
0.451,7,0,full,1536,1,1,,,below_threshold
0.451,7,1,full,1536,1,1,,,below_threshold
0.451,7,2,full,1536,1,1,,,below_threshold
0.451,7,3,full,1536,1,1,,,below_threshold
0.451,7,4,full,1536,1,1,,,below_threshold
0.451,7,5,full,1536,1,1,,,below_threshold
0.451,7,6,full,1536,1,1,,,below_threshold
0.451,7,7,full,1536,1,1,,,below_threshold
0.451,8,0,full,1536,1,1,,,below_threshold
0.451,8,1,compact,128,0.0833333,0.472067,-0.142711,0.472067,meets_threshold
0.451,8,2,full,1536,1,1,,,below_threshold
0.451,8,3,full,1536,1,1,,,below_threshold
0.451,8,4,full,1536,1,1,,,below_threshold
0.451,8,5,full,1536,1,1,,,below_threshold
0.451,8,6,full,1536,1,1,,,below_threshold
0.451,8,7,full,1536,1,1,,,below_threshold
0.451,9,0,full,1536,1,1,,,below_threshold
0.451,9,1,compact,128,0.0833333,0.485147,-0.304665,0.485147,meets_threshold
0.451,9,2,full,1536,1,1,,,below_threshold
0.451,9,3,full,1536,1,1,,,below_threshold
0.451,9,4,full,1536,1,1,,,below_threshold
0.451,9,5,full,1536,1,1,,,below_threshold
0.451,9,6,full,1536,1,1,,,below_threshold
0.451,9,7,full,1536,1,1,,,below_threshold
0.451,10,0,full,1536,1,1,,,below_threshold
0.451,10,1,full,1536,1,1,,,below_threshold
0.451,10,2,full,1536,1,1,,,below_threshold
0.451,10,3,compact,128,0.0833333,0.456578,-0.885916,0.456578,meets_threshold
0.451,10,4,full,1536,1,1,,,below_threshold
0.451,10,5,full,1536,1,1,,,below_threshold
0.451,10,6,full,1536,1,1,,,below_threshold
0.451,10,7,full,1536,1,1,,,below_threshold
0.451,11,0,full,1536,1,1,,,below_threshold
0.451,11,1,full,1536,1,1,,,below_threshold
0.451,11,2,compact,128,0.0833333,0.47891,0.0805184,0.47891,meets_threshold
0.451,11,3,full,1536,1,1,,,below_threshold
0.451,11,4,full,1536,1,1,,,below_threshold
0.451,11,5,full,1536,1,1,,,below_threshold
0.451,11,6,full,1536,1,1,,,below_threshold
0.451,11,7,full,1536,1,1,,,below_threshold
0.451,12,0,full,1536,1,1,,,below_threshold
0.451,12,1,full,1536,1,1,,,below_threshold
0.451,12,2,full,1536,1,1,,,below_threshold
0.451,12,3,full,1536,1,1,,,below_threshold
0.451,12,4,full,1536,1,1,,,below_threshold
0.451,12,5,full,1536,1,1,,,below_threshold
0.451,12,6,full,1536,1,1,,,below_threshold
0.451,12,7,full,1536,1,1,,,below_threshold
0.451,13,0,full,1536,1,1,,,below_threshold
0.451,13,1,full,1536,1,1,,,below_threshold
0.451,13,2,full,1536,1,1,,,below_threshold
0.451,13,3,full,1536,1,1,,,below_threshold
0.451,13,4,full,1536,1,1,,,below_threshold
0.451,13,5,full,1536,1,1,,,below_threshold
0.451,13,6,full,1536,1,1,,,below_threshold
0.451,13,7,full,1536,1,1,,,below_threshold
0.451,14,0,full,1536,1,1,,,below_threshold
0.451,14,1,full,1536,1,1,,,below_threshold
0.451,14,2,full,1536,1,1,,,below_threshold
0.451,14,3,full,1536,1,1,,,below_threshold
0.451,14,4,full,1536,1,1,,,below_threshold
0.451,14,5,compact,256,0.166667,0.453655,0.202406,0.453655,meets_threshold
0.451,14,6,full,1536,1,1,,,below_threshold
0.451,14,7,full,1536,1,1,,,below_threshold
0.451,15,0,full,1536,1,1,,,below_threshold
0.451,15,1,full,1536,1,1,,,below_threshold
0.451,15,2,full,1536,1,1,,,below_threshold
0.451,15,3,full,1536,1,1,,,below_threshold
0.451,15,4,full,1536,1,1,,,below_threshold
0.451,15,5,full,1536,1,1,,,below_threshold
0.451,15,6,full,1536,1,1,,,below_threshold
0.451,15,7,full,1536,1,1,,,below_threshold
0.451,16,0,full,1536,1,1,,,below_threshold
0.451,16,1,full,1536,1,1,,,below_threshold
0.451,16,2,full,1536,1,1,,,below_threshold
0.451,16,3,full,1536,1,1,,,below_threshold
0.451,16,4,full,1536,1,1,,,below_threshold
0.451,16,5,full,1536,1,1,,,below_threshold
0.451,16,6,full,1536,1,1,,,below_threshold
0.451,16,7,full,1536,1,1,,,below_threshold
0.451,17,0,full,1536,1,1,,,below_threshold
0.451,17,1,full,1536,1,1,,,below_threshold
0.451,17,2,full,1536,1,1,,,below_threshold
0.451,17,3,full,1536,1,1,,,below_threshold
0.451,17,4,full,1536,1,1,,,below_threshold
0.451,17,5,full,1536,1,1,,,below_threshold
0.451,17,6,full,1536,1,1,,,below_threshold
0.451,17,7,full,1536,1,1,,,below_threshold
0.451,18,0,compact,128,0.0833333,0.534773,0.100952,0.534773,meets_threshold
0.451,18,1,full,1536,1,1,,,below_threshold
0.451,18,2,full,1536,1,1,,,below_threshold
0.451,18,3,full,1536,1,1,,,below_threshold
0.451,18,4,full,1536,1,1,,,below_threshold
0.451,18,5,full,1536,1,1,,,below_threshold
0.451,18,6,full,1536,1,1,,,below_threshold
0.451,18,7,full,1536,1,1,,,below_threshold
0.451,19,0,full,1536,1,1,,,below_threshold
0.451,19,1,full,1536,1,1,,,below_threshold
0.451,19,2,full,1536,1,1,,,below_threshold
0.451,19,3,full,1536,1,1,,,below_threshold
0.451,19,4,full,1536,1,1,,,below_threshold
0.451,19,5,full,1536,1,1,,,below_threshold
0.451,19,6,full,1536,1,1,,,below_threshold
0.451,19,7,full,1536,1,1,,,below_threshold
0.451,20,0,full,1536,1,1,,,below_threshold
0.451,20,1,full,1536,1,1,,,below_threshold
0.451,20,2,compact,256,0.166667,0.452199,0.151074,0.452199,meets_threshold
0.451,20,3,full,1536,1,1,,,below_threshold
0.451,20,4,full,1536,1,1,,,below_threshold
0.451,20,5,full,1536,1,1,,,below_threshold
0.451,20,6,full,1536,1,1,,,below_threshold
0.451,20,7,full,1536,1,1,,,below_threshold
0.451,21,0,full,1536,1,1,,,below_threshold
0.451,21,1,full,1536,1,1,,,below_threshold
0.451,21,2,full,1536,1,1,,,below_threshold
0.451,21,3,full,1536,1,1,,,below_threshold
0.451,21,4,full,1536,1,1,,,below_threshold
0.451,21,5,full,1536,1,1,,,below_threshold
0.451,21,6,full,1536,1,1,,,below_threshold
0.451,21,7,full,1536,1,1,,,below_threshold
0.451,22,0,full,1536,1,1,,,constrained_out
0.451,22,1,compact,64,0.0416667,0.454562,-0.62248,0.454562,meets_threshold
0.451,22,2,full,1536,1,1,,,below_threshold
0.451,22,3,full,1536,1,1,,,below_threshold
0.451,22,4,full,1536,1,1,,,below_threshold
0.451,22,5,full,1536,1,1,,,below_threshold
0.451,22,6,full,1536,1,1,,,below_threshold
0.451,22,7,full,1536,1,1,,,below_threshold
0.451,23,0,full,1536,1,1,,,below_threshold
0.451,23,1,full,1536,1,1,,,below_threshold
0.451,23,2,full,1536,1,1,,,below_threshold
0.451,23,3,full,1536,1,1,,,below_threshold
0.451,23,4,full,1536,1,1,,,below_threshold
0.451,23,5,full,1536,1,1,,,below_threshold
0.451,23,6,full,1536,1,1,,,below_threshold
0.451,23,7,compact,256,0.166667,0.498822,0.292175,0.498822,meets_threshold
0.451,24,0,full,1536,1,1,,,below_threshold
0.451,24,1,full,1536,1,1,,,below_threshold
0.451,24,2,compact,256,0.166667,0.47761,0.105962,0.47761,meets_threshold
0.451,24,3,full,1536,1,1,,,below_threshold
0.451,24,4,full,1536,1,1,,,below_threshold
0.451,24,5,full,1536,1,1,,,constrained_out
0.451,24,6,full,1536,1,1,,,below_threshold
0.451,24,7,full,1536,1,1,,,below_threshold
0.451,25,0,full,1536,1,1,,,below_threshold
0.451,25,1,full,1536,1,1,,,below_threshold
0.451,25,2,full,1536,1,1,,,below_threshold
0.451,25,3,compact,128,0.0833333,0.481239,-0.0662971,0.481239,meets_threshold
0.451,25,4,full,1536,1,1,,,below_threshold
0.451,25,5,full,1536,1,1,,,constrained_out
0.451,25,6,full,1536,1,1,,,constrained_out
0.451,25,7,full,1536,1,1,,,below_threshold
0.451,26,0,full,1536,1,1,,,below_threshold
0.451,26,1,compact,128,0.0833333,0.495451,-0.859776,0.495451,meets_threshold
0.451,26,2,full,1536,1,1,,,below_threshold
0.451,26,3,full,1536,1,1,,,constrained_out
0.451,26,4,full,1536,1,1,,,below_threshold
0.451,26,5,full,1536,1,1,,,constrained_out
0.451,26,6,full,1536,1,1,,,below_threshold
0.451,26,7,full,1536,1,1,,,constrained_out
0.451,27,0,full,1536,1,1,,,below_threshold
0.451,27,1,full,1536,1,1,,,below_threshold
0.451,27,2,full,1536,1,1,,,below_threshold
0.451,27,3,full,1536,1,1,,,below_threshold
0.451,27,4,full,1536,1,1,,,below_threshold
0.451,27,5,full,1536,1,1,,,below_threshold
0.451,27,6,full,1536,1,1,,,below_threshold
0.451,27,7,full,1536,1,1,,,below_threshold
0.452,0,0,full,1536,1,1,,,below_threshold
0.452,0,1,full,1536,1,1,,,below_threshold
0.452,0,2,full,1536,1,1,,,below_threshold
0.452,0,3,full,1536,1,1,,,below_threshold
0.452,0,4,full,1536,1,1,,,below_threshold
0.452,0,5,full,1536,1,1,,,below_threshold
0.452,0,6,full,1536,1,1,,,below_threshold
0.452,0,7,full,1536,1,1,,,below_threshold
0.452,1,0,full,1536,1,1,,,below_threshold
0.452,1,1,full,1536,1,1,,,below_threshold
0.452,1,2,full,1536,1,1,,,below_threshold
0.452,1,3,full,1536,1,1,,,below_threshold
0.452,1,4,full,1536,1,1,,,below_threshold
0.452,1,5,full,1536,1,1,,,below_threshold
0.452,1,6,full,1536,1,1,,,below_threshold
0.452,1,7,full,1536,1,1,,,below_threshold
0.452,2,0,full,1536,1,1,,,below_threshold
0.452,2,1,full,1536,1,1,,,below_threshold
0.452,2,2,full,1536,1,1,,,below_threshold
0.452,2,3,full,1536,1,1,,,below_threshold
0.452,2,4,full,1536,1,1,,,below_threshold
0.452,2,5,full,1536,1,1,,,constrained_out
0.452,2,6,full,1536,1,1,,,below_threshold
0.452,2,7,full,1536,1,1,,,drop_l2_h7__l4_h6
0.452,3,0,compact,64,0.0416667,0.477479,-1.31255,0.477479,meets_threshold
0.452,3,1,full,1536,1,1,,,below_threshold
0.452,3,2,full,1536,1,1,,,below_threshold
0.452,3,3,full,1536,1,1,,,below_threshold
0.452,3,4,full,1536,1,1,,,below_threshold
0.452,3,5,full,1536,1,1,,,below_threshold
0.452,3,6,full,1536,1,1,,,constrained_out
0.452,3,7,full,1536,1,1,,,constrained_out
0.452,4,0,full,1536,1,1,,,below_threshold
0.452,4,1,full,1536,1,1,,,below_threshold
0.452,4,2,full,1536,1,1,,,below_threshold
0.452,4,3,full,1536,1,1,,,below_threshold
0.452,4,4,full,1536,1,1,,,below_threshold
0.452,4,5,full,1536,1,1,,,below_threshold
0.452,4,6,full,1536,1,1,,,drop_l2_h7__l4_h6
0.452,4,7,full,1536,1,1,,,below_threshold
0.452,5,0,full,1536,1,1,,,below_threshold
0.452,5,1,full,1536,1,1,,,below_threshold
0.452,5,2,compact,128,0.0833333,0.478574,-0.0711887,0.478574,meets_threshold
0.452,5,3,full,1536,1,1,,,below_threshold
0.452,5,4,full,1536,1,1,,,below_threshold
0.452,5,5,full,1536,1,1,,,below_threshold
0.452,5,6,full,1536,1,1,,,below_threshold
0.452,5,7,full,1536,1,1,,,below_threshold
0.452,6,0,full,1536,1,1,,,below_threshold
0.452,6,1,full,1536,1,1,,,below_threshold
0.452,6,2,full,1536,1,1,,,below_threshold
0.452,6,3,full,1536,1,1,,,below_threshold
0.452,6,4,full,1536,1,1,,,below_threshold
0.452,6,5,full,1536,1,1,,,below_threshold
0.452,6,6,full,1536,1,1,,,below_threshold
0.452,6,7,compact,64,0.0416667,0.586239,-0.703545,0.586239,meets_threshold
0.452,7,0,full,1536,1,1,,,below_threshold
0.452,7,1,full,1536,1,1,,,below_threshold
0.452,7,2,full,1536,1,1,,,below_threshold
0.452,7,3,full,1536,1,1,,,below_threshold
0.452,7,4,full,1536,1,1,,,below_threshold
0.452,7,5,full,1536,1,1,,,below_threshold
0.452,7,6,full,1536,1,1,,,below_threshold
0.452,7,7,full,1536,1,1,,,below_threshold
0.452,8,0,full,1536,1,1,,,below_threshold
0.452,8,1,compact,128,0.0833333,0.472067,-0.142711,0.472067,meets_threshold
0.452,8,2,full,1536,1,1,,,below_threshold
0.452,8,3,full,1536,1,1,,,below_threshold
0.452,8,4,full,1536,1,1,,,below_threshold
0.452,8,5,full,1536,1,1,,,below_threshold
0.452,8,6,full,1536,1,1,,,below_threshold
0.452,8,7,full,1536,1,1,,,below_threshold
0.452,9,0,full,1536,1,1,,,below_threshold
0.452,9,1,compact,128,0.0833333,0.485147,-0.304665,0.485147,meets_threshold
0.452,9,2,full,1536,1,1,,,below_threshold
0.452,9,3,full,1536,1,1,,,below_threshold
0.452,9,4,full,1536,1,1,,,below_threshold
0.452,9,5,full,1536,1,1,,,below_threshold
0.452,9,6,full,1536,1,1,,,below_threshold
0.452,9,7,full,1536,1,1,,,below_threshold
0.452,10,0,full,1536,1,1,,,below_threshold
0.452,10,1,full,1536,1,1,,,below_threshold
0.452,10,2,full,1536,1,1,,,below_threshold
0.452,10,3,compact,128,0.0833333,0.456578,-0.885916,0.456578,meets_threshold
0.452,10,4,full,1536,1,1,,,below_threshold
0.452,10,5,full,1536,1,1,,,below_threshold
0.452,10,6,full,1536,1,1,,,below_threshold
0.452,10,7,full,1536,1,1,,,below_threshold
0.452,11,0,full,1536,1,1,,,below_threshold
0.452,11,1,full,1536,1,1,,,below_threshold
0.452,11,2,compact,128,0.0833333,0.47891,0.0805184,0.47891,meets_threshold
0.452,11,3,full,1536,1,1,,,below_threshold
0.452,11,4,full,1536,1,1,,,below_threshold
0.452,11,5,full,1536,1,1,,,below_threshold
0.452,11,6,full,1536,1,1,,,below_threshold
0.452,11,7,full,1536,1,1,,,below_threshold
0.452,12,0,full,1536,1,1,,,below_threshold
0.452,12,1,full,1536,1,1,,,below_threshold
0.452,12,2,full,1536,1,1,,,below_threshold
0.452,12,3,full,1536,1,1,,,below_threshold
0.452,12,4,full,1536,1,1,,,below_threshold
0.452,12,5,full,1536,1,1,,,below_threshold
0.452,12,6,full,1536,1,1,,,below_threshold
0.452,12,7,full,1536,1,1,,,below_threshold
0.452,13,0,full,1536,1,1,,,below_threshold
0.452,13,1,full,1536,1,1,,,below_threshold
0.452,13,2,full,1536,1,1,,,below_threshold
0.452,13,3,full,1536,1,1,,,below_threshold
0.452,13,4,full,1536,1,1,,,below_threshold
0.452,13,5,full,1536,1,1,,,below_threshold
0.452,13,6,full,1536,1,1,,,below_threshold
0.452,13,7,full,1536,1,1,,,below_threshold
0.452,14,0,full,1536,1,1,,,below_threshold
0.452,14,1,full,1536,1,1,,,below_threshold
0.452,14,2,full,1536,1,1,,,below_threshold
0.452,14,3,full,1536,1,1,,,below_threshold
0.452,14,4,full,1536,1,1,,,below_threshold
0.452,14,5,compact,256,0.166667,0.453655,0.202406,0.453655,meets_threshold
0.452,14,6,full,1536,1,1,,,below_threshold
0.452,14,7,full,1536,1,1,,,below_threshold
0.452,15,0,full,1536,1,1,,,below_threshold
0.452,15,1,full,1536,1,1,,,below_threshold
0.452,15,2,full,1536,1,1,,,below_threshold
0.452,15,3,full,1536,1,1,,,below_threshold
0.452,15,4,full,1536,1,1,,,below_threshold
0.452,15,5,full,1536,1,1,,,below_threshold
0.452,15,6,full,1536,1,1,,,below_threshold
0.452,15,7,full,1536,1,1,,,below_threshold
0.452,16,0,full,1536,1,1,,,below_threshold
0.452,16,1,full,1536,1,1,,,below_threshold
0.452,16,2,full,1536,1,1,,,below_threshold
0.452,16,3,full,1536,1,1,,,below_threshold
0.452,16,4,full,1536,1,1,,,below_threshold
0.452,16,5,full,1536,1,1,,,below_threshold
0.452,16,6,full,1536,1,1,,,below_threshold
0.452,16,7,full,1536,1,1,,,below_threshold
0.452,17,0,full,1536,1,1,,,below_threshold
0.452,17,1,full,1536,1,1,,,below_threshold
0.452,17,2,full,1536,1,1,,,below_threshold
0.452,17,3,full,1536,1,1,,,below_threshold
0.452,17,4,full,1536,1,1,,,below_threshold
0.452,17,5,full,1536,1,1,,,below_threshold
0.452,17,6,full,1536,1,1,,,below_threshold
0.452,17,7,full,1536,1,1,,,below_threshold
0.452,18,0,compact,128,0.0833333,0.534773,0.100952,0.534773,meets_threshold
0.452,18,1,full,1536,1,1,,,below_threshold
0.452,18,2,full,1536,1,1,,,below_threshold
0.452,18,3,full,1536,1,1,,,below_threshold
0.452,18,4,full,1536,1,1,,,below_threshold
0.452,18,5,full,1536,1,1,,,below_threshold
0.452,18,6,full,1536,1,1,,,below_threshold
0.452,18,7,full,1536,1,1,,,below_threshold
0.452,19,0,full,1536,1,1,,,below_threshold
0.452,19,1,full,1536,1,1,,,below_threshold
0.452,19,2,full,1536,1,1,,,below_threshold
0.452,19,3,full,1536,1,1,,,below_threshold
0.452,19,4,full,1536,1,1,,,below_threshold
0.452,19,5,full,1536,1,1,,,below_threshold
0.452,19,6,full,1536,1,1,,,below_threshold
0.452,19,7,full,1536,1,1,,,below_threshold
0.452,20,0,full,1536,1,1,,,below_threshold
0.452,20,1,full,1536,1,1,,,below_threshold
0.452,20,2,compact,256,0.166667,0.452199,0.151074,0.452199,meets_threshold
0.452,20,3,full,1536,1,1,,,below_threshold
0.452,20,4,full,1536,1,1,,,below_threshold
0.452,20,5,full,1536,1,1,,,below_threshold
0.452,20,6,full,1536,1,1,,,below_threshold
0.452,20,7,full,1536,1,1,,,below_threshold
0.452,21,0,full,1536,1,1,,,below_threshold
0.452,21,1,full,1536,1,1,,,below_threshold
0.452,21,2,full,1536,1,1,,,below_threshold
0.452,21,3,full,1536,1,1,,,below_threshold
0.452,21,4,full,1536,1,1,,,below_threshold
0.452,21,5,full,1536,1,1,,,below_threshold
0.452,21,6,full,1536,1,1,,,below_threshold
0.452,21,7,full,1536,1,1,,,below_threshold
0.452,22,0,full,1536,1,1,,,constrained_out
0.452,22,1,compact,64,0.0416667,0.454562,-0.62248,0.454562,meets_threshold
0.452,22,2,full,1536,1,1,,,below_threshold
